no,country,pop,land_area,fert_rate,med_age,urban_pop_per,world_share,latitude,longitude
163,Comoros,866628,1861,3.8,21,0.33,0.0001,-12.2045176,44.2832964
164,Guyana,831087,196850,2.4,26,0.27,0.0001,4.8417097,-58.6416891
165,Solomon Islands,819198,27990,3.5,20,0.23,0.0001,-8.7053941,159.1070694
166,Bhutan,791524,38117,1.4,30,0.49,0.0001,27.549511,90.5119273
167,Macao,720262,30,0.7,39,0.96,0.0001,,
168,Luxembourg,673036,2590,1.4,39,0.87,0.0001,49.8158683,6.1296751
169,Montenegro,638479,13450,1.8,40,0.68,0.0001,42.9868853,19.5180992
170,Suriname,634431,156000,2.2,28,0.62,0.0001,4.1413025,-56.0771187
171,Western Sahara,590506,266000,2.2,32,0.97,0.0001,,
172,Malta,539607,320,1.1,41,0.77,0.0001,35.8885993,14.4476911
173,Maldives,527799,300,1.6,32,0.39,0.0001,3.7203503,73.2244152
174,Micronesia,526923,700,2.8,26,0.75,0.0001,8.6062347,151.8327443
175,Cabo Verde,524877,4030,1.5,28,0.78,0.0001,16.0000552,-24.0083947
176,Brunei,462721,5270,1.7,32,0.8,0.0001,4.4137155,114.5653908
177,Belize,417072,22810,2,26,0.48,0.0001,17.1204943,-88.6859028
178,Bahamas,401283,10010,1.4,35,0.88,0,24.7736546,-78.0000547
179,Iceland,393396,100250,1.5,36,0.84,0,64.9841821,-18.1059013
180,Guadeloupe,375106,1690,2.1,47,N.A.,0,,
181,Martinique,343195,1060,2,49,N.A.,0,,
182,Vanuatu,327777,12190,3.6,20,0.25,0,-16.5255069,168.1069154
183,Mayotte,326505,375,4.6,17,0.42,0,,
184,French Guiana,308522,82200,3.3,25,0.94,0,,
185,New Caledonia,292639,18280,2,34,0.75,0,,
186,Barbados,282467,430,1.7,39,0.32,0,13.1500331,-59.5250305
187,French Polynesia,281807,3660,1.5,35,0.66,0,,
188,Sao Tome & Principe,235536,960,3.6,19,0.78,0,,
189,Samoa,218019,2830,3.8,20,0.16,0,-13.7693895,-172.12005
190,Curaçao,185482,444,1.1,38,0.8,0,,
191,Saint Lucia,179744,610,1.4,34,0.2,0,13.8250489,-60.975036
192,Guam,167777,540,2.7,31,0.99,0,,
193,Kiribati,134518,810,3.1,23,0.57,0,0.3448612,173.6641773
194,Seychelles,130418,460,2.1,34,0.44,0,-4.6574977,55.4540146
195,Grenada,117207,340,1.5,34,0.35,0,12.1360374,-61.6904045
196,Aruba,108066,180,1.6,41,0.44,0,,
197,Tonga,104175,720,3.1,21,0.26,0,-19.9160819,-175.202642
198,St. Vincent & Grenadines,100616,390,1.8,34,0.61,0,,
199,Antigua and Barbuda,93772,440,1.6,36,0.28,0,17.2234721,-61.9554608
200,U.S. Virgin Islands,84905,350,2.1,45,N.A.,0,,
201,Isle of Man,84160,570,1.5,46,0.56,0,54.1936805,-4.5591148
202,Andorra,81938,470,1.1,43,0.83,0,42.5407167,1.5732033
203,Cayman Islands,74457,240,1.5,38,0.9,0,19.70318225,-79.91746272
204,Dominica,66205,750,1.5,36,0.83,0,15.4113138,-61.3653618
205,Bermuda,64636,50,1.4,46,0.93,0,32.3040273,-64.7563086
206,Greenland,55840,410450,1.9,35,0.9,0,77.6192349,-42.8125967
207,Faeroe Islands,55400,1396,2.2,37,0.4,0,62.0282362,-6.8819254
208,Saint Kitts & Nevis,46843,260,1.5,36,0.39,0,,
209,American Samoa,46765,200,2.3,29,N.A.,0,,
210,Turks and Caicos,46535,950,1.5,39,0.79,0,,
211,Northern Mariana Islands,44278,460,2.3,37,N.A.,0,,
212,Sint Maarten,43350,34,1.4,42,1,0,,
213,Liechtenstein,39870,160,1.5,44,0.15,0,47.1416307,9.5531527
214,British Virgin Islands,39471,150,1,38,0.43,0,18.4024395,-64.5661642
215,Gibraltar,39329,10,1.9,39,0.9,0,36.1285933,-5.3474761
216,Monaco,38631,1,2.1,54,N.A.,0,43.7323492,7.4276832
217,Marshall Islands,37548,180,2.9,21,N.A.,0,8.230817,167.7953224
218,San Marino,33581,60,1.2,48,1,0,43.9458623,12.458306
219,Caribbean Netherlands,30675,328,1.5,40,0.66,0,,
220,Saint Martin,26129,53,2.7,41,0,0,,
221,Palau,17695,460,1.9,38,N.A.,0,5.3783537,132.9102573
222,Anguilla,14598,90,1.4,38,N.A.,0,18.1954947,-63.0750234
223,Cook Islands,13729,240,2,36,0.98,0,-19.99697155,-157.7858714
224,Nauru,11947,20,3.3,20,0.95,0,-0.5252306,166.9324426
225,Wallis & Futuna,11277,140,1.4,38,0,0,,
226,Saint Barthelemy,11258,21,0.8,39,0,0,,
227,Tuvalu,9646,30,3.2,24,0.83,0,-8.6405212,179.1582918
228,Saint Pierre & Miquelon,5628,230,1.3,47,N.A.,0,,
229,Saint Helena,5237,390,1.6,51,0.33,0,,
230,Montserrat,4389,100,1.4,42,0.11,0,16.7417041,-62.1916844
231,Falkland Islands,3470,12170,1.7,42,0.68,0,-51.9492937,-59.5383657
232,Tokelau,2506,10,2.6,27,0,0,-9.1676396,-171.819687
233,Niue,1819,260,2.5,36,0.44,0,-19.0536414,-169.861341
234,Holy See,496,0,1,59,N.A.,0,,
